,country,year,cases,sex,age
6,AD,1996,0.0,m,0-14
5775,AD,1996,0.0,m,15-24
11544,AD,1996,0.0,m,25-34
17313,AD,1996,4.0,m,35-44
23082,AD,1996,1.0,m,45-54
28851,AD,1996,0.0,m,55-64
34620,AD,1996,0.0,m,65
46158,AD,1996,0.0,f,0-14
51927,AD,1996,1.0,f,15-24
57696,AD,1996,1.0,f,25-34
63465,AD,1996,0.0,f,35-44
69234,AD,1996,0.0,f,45-54
75003,AD,1996,1.0,f,55-64
80772,AD,1996,0.0,f,65
7,AD,1997,0.0,m,0-14
5776,AD,1997,0.0,m,15-24
11545,AD,1997,1.0,m,25-34
17314,AD,1997,2.0,m,35-44
23083,AD,1997,2.0,m,45-54
28852,AD,1997,1.0,m,55-64
34621,AD,1997,6.0,m,65
46159,AD,1997,0.0,f,0-14
51928,AD,1997,1.0,f,15-24
57697,AD,1997,2.0,f,25-34
63466,AD,1997,3.0,f,35-44
69235,AD,1997,0.0,f,45-54
75004,AD,1997,0.0,f,55-64
80773,AD,1997,1.0,f,65
8,AD,1998,0.0,m,0-14
5777,AD,1998,0.0,m,15-24
11546,AD,1998,0.0,m,25-34
17315,AD,1998,1.0,m,35-44
23084,AD,1998,0.0,m,45-54
28853,AD,1998,0.0,m,55-64
34622,AD,1998,0.0,m,65
9,AD,1999,0.0,m,0-14
5778,AD,1999,0.0,m,15-24
11547,AD,1999,0.0,m,25-34
17316,AD,1999,1.0,m,35-44
23085,AD,1999,1.0,m,45-54
28854,AD,1999,0.0,m,55-64
34623,AD,1999,0.0,m,65
46161,AD,1999,0.0,f,0-14
51930,AD,1999,0.0,f,15-24
57699,AD,1999,0.0,f,25-34
63468,AD,1999,1.0,f,35-44
69237,AD,1999,0.0,f,45-54
75006,AD,1999,0.0,f,55-64
80775,AD,1999,0.0,f,65
10,AD,2000,0.0,m,0-14
5779,AD,2000,0.0,m,15-24
11548,AD,2000,1.0,m,25-34
17317,AD,2000,0.0,m,35-44
23086,AD,2000,0.0,m,45-54
28855,AD,2000,0.0,m,55-64
34624,AD,2000,0.0,m,65
11,AD,2001,0.0,m,0-14
17318,AD,2001,2.0,m,35-44
23087,AD,2001,1.0,m,45-54
12,AD,2002,0.0,m,0-14
5781,AD,2002,0.0,m,15-24
11550,AD,2002,0.0,m,25-34
17319,AD,2002,1.0,m,35-44
23088,AD,2002,0.0,m,45-54
28857,AD,2002,0.0,m,55-64
34626,AD,2002,0.0,m,65
46164,AD,2002,0.0,f,0-14
51933,AD,2002,1.0,f,15-24
57702,AD,2002,0.0,f,25-34
63471,AD,2002,0.0,f,35-44
69240,AD,2002,0.0,f,45-54
75009,AD,2002,0.0,f,55-64
80778,AD,2002,0.0,f,65
13,AD,2003,0.0,m,0-14
5782,AD,2003,0.0,m,15-24
11551,AD,2003,0.0,m,25-34
17320,AD,2003,1.0,m,35-44
23089,AD,2003,2.0,m,45-54
28858,AD,2003,0.0,m,55-64
34627,AD,2003,0.0,m,65
46165,AD,2003,0.0,f,0-14
51934,AD,2003,1.0,f,15-24
57703,AD,2003,1.0,f,25-34
63472,AD,2003,1.0,f,35-44
69241,AD,2003,0.0,f,45-54
75010,AD,2003,0.0,f,55-64
80779,AD,2003,0.0,f,65
14,AD,2004,0.0,m,0-14
5783,AD,2004,0.0,m,15-24
11552,AD,2004,0.0,m,25-34
17321,AD,2004,1.0,m,35-44
23090,AD,2004,1.0,m,45-54
28859,AD,2004,0.0,m,55-64
34628,AD,2004,0.0,m,65
46166,AD,2004,0.0,f,0-14
51935,AD,2004,0.0,f,15-24
57704,AD,2004,1.0,f,25-34
63473,AD,2004,0.0,f,35-44
69242,AD,2004,0.0,f,45-54
75011,AD,2004,0.0,f,55-64
80780,AD,2004,0.0,f,65
15,AD,2005,0.0,m,0-14
